method,metric,point,ci_low,ci_high,dataset,n_resamples,block_size
LPGW,max_f1,0.36666666666666664,0.125,0.5933014354066986,kitti00,1996,10
LPGW,average_precision,0.17935130511450564,0.050578081456373346,0.361291952042716,kitti00,1996,10
LPGW,recall_at_1,0.030303030303030304,0.0,0.08333333333333333,kitti00,1996,10
Hausdorff,max_f1,0.9705882352941176,0.9491525423728813,1.0,kitti00,1996,10
Hausdorff,average_precision,0.9973501246228518,0.9865767045454545,1.0,kitti00,1996,10
Hausdorff,recall_at_1,1.0,1.0,1.0,kitti00,1996,10
DTW,max_f1,0.9850746268656716,0.9714285714285714,1.0,kitti00,1996,10
DTW,average_precision,0.9991087344028519,0.9958333333333333,1.0000000000000002,kitti00,1996,10
DTW,recall_at_1,1.0,1.0,1.0,kitti00,1996,10
Frechet,max_f1,0.9705882352941176,0.9491525423728813,1.0,kitti00,1996,10
Frechet,average_precision,0.9973501246228518,0.9865767045454545,1.0,kitti00,1996,10
Frechet,recall_at_1,0.9696969696969697,0.8235294117647058,1.0,kitti00,1996,10
LPGW-Hausdorff,max_f1,-0.603921568627451,-0.8461538461538461,-0.39267954113494435,kitti00,1996,10
LPGW-Hausdorff,average_precision,-0.8179988195083461,-0.9369224088483056,-0.6365508383237899,kitti00,1996,10
LPGW-Hausdorff,recall_at_1,-0.9696969696969697,-1.0,-0.9166666666666666,kitti00,1996,10
LPGW-DTW,max_f1,-0.6184079601990049,-0.875,-0.39825237337597685,kitti00,1996,10
LPGW-DTW,average_precision,-0.8197574292883463,-0.9494219185436267,-0.6382671627929104,kitti00,1996,10
LPGW-DTW,recall_at_1,-0.9696969696969697,-1.0,-0.9166666666666666,kitti00,1996,10
LPGW-Frechet,max_f1,-0.603921568627451,-0.8461538461538461,-0.39267954113494435,kitti00,1996,10
LPGW-Frechet,average_precision,-0.8179988195083461,-0.9369224088483056,-0.6365508383237899,kitti00,1996,10
LPGW-Frechet,recall_at_1,-0.9393939393939394,-1.0,-0.8056451612903226,kitti00,1996,10
