method,metric,point,ci_low,ci_high,dataset,n_resamples,block_size
LPGW,max_f1,0.7683615819209039,0.5985191710713986,0.8940092165898618,uzhfpv,10000,10
LPGW,average_precision,0.6525108803409825,0.4053969190182181,0.8764936124691357,uzhfpv,10000,10
LPGW,recall_at_1,0.1267605633802817,0.0,0.30357142857142855,uzhfpv,10000,10
Hausdorff,max_f1,0.7395833333333334,0.5562130177514792,0.8750144009216588,uzhfpv,10000,10
Hausdorff,average_precision,0.5488399486752072,0.35600079901166237,0.7411040697808804,uzhfpv,10000,10
Hausdorff,recall_at_1,0.6056338028169014,0.3442622950819672,0.8307692307692308,uzhfpv,10000,10
DTW,max_f1,0.7216494845360826,0.5490037950664136,0.8636363636363636,uzhfpv,10000,10
DTW,average_precision,0.47298990147314635,0.3047034993557085,0.694241763470935,uzhfpv,10000,10
DTW,recall_at_1,0.16901408450704225,0.016129032258064516,0.3972602739726027,uzhfpv,10000,10
Frechet,max_f1,0.7208121827411168,0.5389221556886228,0.8545454545454546,uzhfpv,10000,10
Frechet,average_precision,0.4753764225668656,0.2964248952172803,0.711541036434294,uzhfpv,10000,10
Frechet,recall_at_1,0.4788732394366197,0.25756493506493505,0.7142857142857143,uzhfpv,10000,10
LPGW-Hausdorff,max_f1,0.0287782485875705,-0.04398940338598779,0.12478244926053847,uzhfpv,10000,10
LPGW-Hausdorff,average_precision,0.10367093166577523,-0.14711759725066864,0.34037714066220626,uzhfpv,10000,10
LPGW-Hausdorff,recall_at_1,-0.4788732394366197,-0.7209302325581395,-0.21568627450980393,uzhfpv,10000,10
LPGW-DTW,max_f1,0.046712097384821294,-0.03182920886146706,0.13135030459660227,uzhfpv,10000,10
LPGW-DTW,average_precision,0.17952097886783613,-0.04714486227124778,0.38954437057688096,uzhfpv,10000,10
LPGW-DTW,recall_at_1,-0.04225352112676056,-0.10843373493975905,0.0,uzhfpv,10000,10
LPGW-Frechet,max_f1,0.047549399179787066,0.0,0.13336449727705255,uzhfpv,10000,10
LPGW-Frechet,average_precision,0.1771344577741169,-0.04529540241888012,0.3734765608291531,uzhfpv,10000,10
LPGW-Frechet,recall_at_1,-0.352112676056338,-0.5454545454545454,-0.17567567567567566,uzhfpv,10000,10
